A,E,A,00J,Command Sergeant Major (CSM) Engineer/Signal/Military Police/Military Intelligence Immaterial,11-3121.00,Human Resources Managers
A,E,A,00K,Command Sergeant Major (CSM) Maneuver Support(MS)/Logistics,11-3121.00,Human Resources Managers
A,E,A,00L,Command Sergeant Major (CSM) Logistics,11-3121.00,Human Resources Managers
A,E,A,00P,Command Sergeant Major (CSM) Force Sustainment,11-3121.00,Human Resources Managers
A,E,A,00R,Command Sergeant Major (CSM) Infantry/Armor Immaterial,11-3121.00,Human Resources Managers
A,E,A,00T,Command Sergeant Major (CSM) Infantry/Armor/Field Artillery/Combat Engineer Immaterial,11-3121.00,Human Resources Managers
A,E,A,00X,Command Sergeant Major (CSM) MOS Immaterial,11-3121.00,Human Resources Managers
A,E,A,00Z,Command Sergeant Major Nominative,11-3121.00,Human Resources Managers
A,E,A,09C,"Trainee, Language",27-3091.00,Interpreters and Translators
A,E,A,09L,Interpreter/Translator,27-3091.00,Interpreters and Translators
A,E,A,11B,Infantryman,55-3016.00,Infantry
A,E,A,11C,Indirect Fire Infantryman,55-3016.00,Infantry
A,E,A,11X,Infantry Training Accession Reporting Code,55-3016.00,Infantry
A,E,A,11Z,Infantry Senior Sergeant,55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists
A,E,A,12A,Engineer Senior Sergeant,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
A,E,A,12B,Combat Engineer,47-4099.00,"Construction and Related Workers, All Other"
A,E,A,12C,Bridge Crewmember,47-4099.00,"Construction and Related Workers, All Other"
A,E,A,12D,Diver,49-9092.00,Commercial Divers
A,E,A,12G,Quarrying Specialist (RC),47-5051.00,"Rock Splitters, Quarry"
A,E,A,12H,Construction Engineering Supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
A,E,A,12K,Plumber,47-2152.02,Plumbers
A,E,A,12M,Firefighter,33-2011.01,Municipal Firefighters
A,E,A,12N,Horizontal Construction Engineer,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
A,E,A,12P,Prime Power Production Specialist,51-8021.00,Stationary Engineers and Boiler Operators
A,E,A,12Q,Powerline Distribution Specialist (RC),49-9051.00,Electrical Power-Line Installers and Repairers
A,E,A,12R,Interior Electrician,47-2111.00,Electricians
A,E,A,12T,Technical Engineer,17-3022.00,Civil Engineering Technicians
A,E,A,12V,Concrete and Asphalt Equipment Operator,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
A,E,A,12W,Carpentry and Masonry Specialist,47-2031.01,Construction Carpenters
A,E,A,12X,General Engineering Supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
A,E,A,12Y,Geospatial Engineer,17-1021.00,Cartographers and Photogrammetrists
A,E,A,12Z,Combat Engineering Senior Sergeant,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
A,E,A,13B,Cannon Crewmember,55-3014.00,Artillery and Missile Crew Members
A,E,A,13D,Field Artillery Automated Tactical Data System Specialist,55-3014.00,Artillery and Missile Crew Members
A,E,A,13F,Fire Support Specialist,55-3014.00,Artillery and Missile Crew Members
A,E,A,13M,Multiple Launch Rocket System (MLRS)/High Mobility Artillery Rocket System (HIMARS) Crewmember,55-3014.00,Artillery and Missile Crew Members
A,E,A,13P,Multiple Launch Rocket System (MLRS) Operations/Fire Direction Specialist,55-3014.00,Artillery and Missile Crew Members
A,E,A,13R,Field Artillery (FA) Firefinder Radar Operator,55-3017.00,Radar and Sonar Technicians
A,E,A,13T,Field Artillery Surveyor/Meteorological Crewmember,17-3031.01,Surveying Technicians
A,E,A,13X,Field Artillery Computer Systems Specialist Training Accession Reporting Code,55-3014.00,Artillery and Missile Crew Members
A,E,A,13Z,Field Artillery Senior Sergeant,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members
A,E,A,14E,PATRIOT Fire Control Enhanced Operator/Maintainer,55-3014.00,Artillery and Missile Crew Members
A,E,A,14G,Air Defense (AD) Battle Management System Operator,55-3014.00,Artillery and Missile Crew Members
A,E,A,14H,Air Defense (AD) Enhanced Early Warning System Operator,55-3014.00,Artillery and Missile Crew Members
A,E,A,14S,Air and Missile Defense (AMD) Crewmember,55-3014.00,Artillery and Missile Crew Members
A,E,A,14T,PATRIOT Launching Station Enhanced Operator/Maintainer,55-3014.00,Artillery and Missile Crew Members
A,E,A,14X,Space and Missile Defense Operations,55-3014.00,Artillery and Missile Crew Members
